,id,year,month,element,temp_value
0,MX17004,2010,1,tmax,27.8
1,MX17004,2010,1,tmin,14.5
2,MX17004,2010,2,tmax,27.75
3,MX17004,2010,2,tmin,13.225000000000001
4,MX17004,2010,3,tmax,32.56666666666667
5,MX17004,2010,3,tmin,16.2
6,MX17004,2010,4,tmax,36.3
7,MX17004,2010,4,tmin,16.7
8,MX17004,2010,5,tmax,33.2
9,MX17004,2010,5,tmin,18.2
10,MX17004,2010,6,tmax,29.05
11,MX17004,2010,6,tmin,17.75
12,MX17004,2010,7,tmax,29.25
13,MX17004,2010,7,tmin,17.0
14,MX17004,2010,8,tmax,28.271428571428572
15,MX17004,2010,8,tmin,15.842857142857142
16,MX17004,2010,10,tmax,28.9
17,MX17004,2010,10,tmin,13.080000000000002
18,MX17004,2010,11,tmax,28.119999999999997
19,MX17004,2010,11,tmin,12.5
20,MX17004,2010,12,tmax,28.85
21,MX17004,2010,12,tmin,12.15
